recipeName,ingredients,numberOfIngredients,prepTime,cookTime,totalTime,servings,cuisine,course,diet
Homemade Ice-Cream Cake Recipe,"Chocolate Ice Cream, Vanilla Ice Cream, Strawberry Cake  A  Strawberry Cake, Decorative Sugar, Chocolate Chips, Whole Eggs, Sunflower Oil, All Purpose Flour, Sugar, Vanilla Extract, Baking Powder, Strawberry Essense, Milk",13,20,25,45,4,Indian,Snack,High Protein Non Vegetarian
One Pot Pav Bhaji Recipe Using Preethi Electric Pressure Cooker,"Pav Buns, Onion, Coriander, Onion, Ginger, Garlic, Tomato, Green Bell Pepper, Carrots, Cabbage, Potato, Pav Bhaji Masala, Chaat Masala Powder, Green Peas, Lemon Juice, Butter, Salt",17,20,35,55,4,North Indian Recipes,One Pot Dish,High Protein Non Vegetarian
Cuban Black Bean Salad Recipe,"Canned Black Beans, Tomato, Red Yellow And Green Bell Peppers, Red Onion, Sweet Corn, Dried Oregano, Parsley Leaves, Salt, Extra Virgin Olive Oil, Fresh Orange Juice, Garlic, Orange Zest, Dried Oregano, Cumin Powder, Black Pepper Powder, Salt",16,0,20,20,4,Continental,Snack,High Protein Vegetarian
Kollu Masala Dosa Recipe - High Protein Horse Gram Dosa,"Rice, Horse Gram Dal, Methi Seeds, Water Make The Batter, Sunflower Oil, Salt, Potato, Onion, Mustard Seeds, Curry Leaves, Turmeric Powder, Red Chilli Powder, Green Chilli, Coriander, Sunflower Oil",15,930,30,960,4,Konkan,South Indian Breakfast,Vegetarian
Stir Fried Green Amaranth Leaves ,"Amaranth Leaves, Khus Khus, Peanuts, Dry Red Chilli, Buds Garlic, Ginger, Cumin Powder, Salt, Mustard Oil",9,15,30,45,2,Bengali Recipes,Lunch,Vegetarian
Kashmiri Style Haak T Thool Recipe - Greens Cooked With Eggs,"Greens, Mustard Oil, Whole Eggs, Asafoetida, Dry Red Chilli, Green Chilli, Sunflower Oil",7,30,30,60,4,Kashmiri,Lunch,Eggetarian
Savoury Baked Arbi Chips Recipe,"Colocasia Root, Extra Virgin Olive Oil Toss, Salt, Black Pepper Powder, Amchur",5,5,20,25,4,Indian,Snack,Vegetarian
Gujarati Vaghareli Mag Recipe - Whole Green Moong Dal Sabzi Recipe,"Green Moong Dal, Cumin Seeds, Curry Leaves, Ginger, Green Chilli, Turmeric Powder, Lemon, Coriander, Sunflower Oil, Salt",10,400,30,430,4,Gujarati Recipes﻿,Lunch,High Protein Vegetarian
Gujarati Adadiya Ladwa Recipe - Urad Dal Halwa with Nuts & Spices,"Urad Dal Flour, Ghee, Milk, Sugar, Khoya, Gond, Raisins, Cashew Nuts, Badam, Pistachios, Dry Ginger Powder, Cardamom Powder, Cinnamon Powder, Cloves, Black Pepper Powder, Peepramul Powder, Badam",17,0,45,45,4,Gujarati Recipes﻿,Dessert,Vegetarian
Mung Bean Sprouts Salad Recipe With Brussel Sprouts and Pomegranate,"Green Moong Sprouts, Fresh Pomegranate Fruit Kernels, Brussel Sprouts, Cranberries, Honey, Green Chilli, Lemon, Salt And Pepper",8,15,0,15,3,Fusion,Appetizer,High Protein Vegetarian
Badam Pottukadalai Ladoo Recipe - Almond Chana Dal Ladoo,"Roasted Gram Dal, Jaggery, Cardamom Powder, Almond Meal, Ghee",5,20,20,40,4,Indian,Dessert,Vegetarian
Konkani Style Sol Kadhi Recipe - Kokum Flavored Coconut Curry,"Kokum, Fresh Coconut, Coriander, Cumin Seeds, Mustard Seeds, Dry Red Chilli, Curry Leaves, Asafoetida, Garlic",9,10,10,20,4,Konkan,Lunch,Vegetarian
Kokum Saar Recipe - Traditional Maharashtrian Kokum Drink,"Kokum, Water, Jaggery, Ghee, Cumin Seeds, Dry Red Chilli  Broken Green Chilli, Asafoetida, Curry Leaves, Coriander, Salt",10,10,20,30,2,Maharashtrian Recipes,Side Dish,Vegetarian
Lemon Oats Recipe,"Instant Oats, Water, Onion, Curry Leaves, Green Chilli, Ginger, Lemon Juice, Sunflower Oil, Mustard Seeds, Cumin Seeds, White Urad Dal, Chana Dal, Asafoetida, Turmeric Powder, Salt, Coriander, Roasted Peanuts",17,10,20,30,2,Indian,Indian Breakfast,Vegetarian
Marrakesh Vegetable Curry Recipe,"Green Beans, Carrot, Sweet Potato, Brinjal, Green Zucchini, Red Yellowgreen Bell Pepper, Onion, Spinach, Garlic, Cinnamon Stick, Curry Powder, Turmeric Powder, Fresh Orange Juice, Badam, Raisins, Black Pepper Powder, Sunflower Oil",17,15,20,35,4,African,Main Course,Vegetarian
Chilli Cheese Paratha Recipe,"Britannia Cheese Block, Green Chilli, Onion, Mint Leaves, Cumin Powder, Whole Wheat Flour, Kalonji, Salt, Ghee Smear While Cooking",9,20,30,50,4,North Indian Recipes,Dinner,Vegetarian
Chicken Sholay Kebab Recipe,"Boneless Chicken, Curry Leaves, Ginger, Garlic, Green Chilli, Rice Flour, All Purpose Flour, Gram Flour, Kashmiri Red Chilli Powder, Salt, Sambar Powder, Cumin Powder, Coriander Powder, Sunflower Oil",14,10,20,30,4,South Indian Recipes,Appetizer,Non Vegeterian
Moolangi Tovve Recipe,"Radishes, Yellow Moong Dal, Turmeric Powder, Green Chilli, Ginger, Coconut, Ghee, Mustard, Dry Red Chilli, Asafetida, Coriander Leaves, Lemon",12,10,30,40,4,South Indian Recipes,Lunch,Vegetarian
Kongunadu Kathirikai Rasam Recipe - Spicy & Tangy Eggplant Rasam,"Small Brinjal, Tomato, Tamarind Water, Turmeric Powder, Salt, Coriander, Arhar Dal, Cumin Seeds, Dry Red Chilli, Garlic, Whole Black Peppercorns, Curry Leaves, Coriander, Ghee, Mustard Seeds, Dry Red Chilli, Curry Leaves, Asafoetida",18,10,30,40,4,South Indian Recipes,Dinner,Vegetarian
Beetroot Poriyal ,"Beetroot, Mustard, Cumin Seeds, White Urad Dal, Curry Leaves, Asafoetida, Turmeric Powder, Coconut, Oil, Salt, Small Onion, Green Chilli",12,10,30,40,4,South Indian Recipes,Lunch,Vegetarian
Tomato Onion Chutney Recipe,"Tomato, Small Onion, Green Chili, Asafoetida, Turmeric Powder, Sesame Oil Any Oil, Salt, Sesame Oil, Rye Any Oil, White Urad Dal, Curry Leaves",11,10,15,25,4,South Indian Recipes,Side Dish,Vegetarian
Kesar Peda Recipe,"Khoya, Sugar, Saffron Strands, Milk, Cardamom Powder, Pistachios, Ghee",7,15,30,45,12,Indian,Dessert,Vegetarian
Mushroom Methi Brown Rice Recipe,"Brown Rice, Button Mushrooms, Methi Leaves, Onion, Tomato, Green Chilli, Garlic, Red Chilli Powder, Coriander Powder, Turmeric Powder, Salt, Sunflower Oil",12,40,15,55,12,Indian,Lunch,Vegetarian
South Indian Onion Chutney Recipe,"Onion, Cumin Seeds, Black Urad Dal, Tamarind Paste, Dry Red Chilli, Jaggery, Sunflower Oil, Salt, Mustard Seeds, Curry Leaves, Sunflower Oil",11,20,20,40,4,South Indian Recipes,Side Dish,Vegetarian
The Paruppu Podi Recipe - South Indian Spiced Dal Chutney Powder,"Arhar Dal, Chana Dal, Dry Red Chilli, Whole Black Peppercorns, Cumin Seeds, Curry Leaves, Asafoetida, Salt",8,15,15,30,6,South Indian Recipes,Side Dish,Vegetarian
Ruote Pasta & Eggplant Gratin Recipe,"Route Pasta, Extra Virgin Olive Oil, Sweet Corn, Del Monte Black Olives  Halved, Tomato Basil Pasta Sauce, Red Bell Pepper, Onion, Garlic  Minced, Soy Granules, Brinjal, Red Chilli Flakes, Whole Black Peppercorns  Crushed, Basil Leaves, Parsley Leaves, Gouda Cheese, Whole Wheat Bread Crumbs",16,20,50,70,4,Italian Recipes,Dinner,Vegetarian
Barnyard Millet Bisi Bele Bath Recipe,"Bisi Bele Bhat Spice Powder, Pearl Onion, Green Bell Pepper, Carrots, Green Peas, Green Beans, Potato, Drumstick, Tomato, Tamarind Water, Jaggery, Salt, Barnyard Millet, Arhar Dal, Turmeric Powder, Salt, Ghee, Mustard Seeds, Cumin Seeds, Dry Red Chilli, Curry Leaves, Coriander",22,20,90,110,4,South Indian Recipes,Lunch,Vegetarian
Maharashtrain Amti Recipe,"Arhar Dal, Turmeric Powder, Water, Maharashtrian Goda Masala, Tamarind, Jaggery, Salt, Coriander, Sunflower Oil, Ghee, Mustard Seeds, Cumin Seeds, Asafoetida, Curry Leaves, Green Chilli",15,10,45,55,2,Maharashtrian Recipes,Lunch,High Protein Vegetarian
Onion Bajji Recipe -Vengaya Bajji/ South Indian Onion Pakora,"Onion, Gram Flour, Turmeric Powder, Red Chilli Powder, Ajwain, Asafoetida, Salt",7,5,10,15,4,Indian,Snack,Vegetarian
Khichdi Roti Recipe,"Khichdipongal, Rice Flour As Needed, Sunflower Oil, Onion, Salt",5,0,15,15,4,Indian,Indian Breakfast,Vegetarian
Foxtail Millet Rava Idli Recipe,"Foxtail Millet, Curd, Carrot, Green Chilli, Ginger, Enos Fruit Salt, Coriander, Water, Salt, Sunflower Oil, Mustard Seeds, White Urad Dal, Chana Dal, Cashew Nuts, Curry Leaves",15,25,15,40,4,South Indian Recipes,South Indian Breakfast,Diabetic Friendly
Besan Oats Ladoo Recipe,"Gram Flour, Instant Oats, Sugar, Cardamom Powder, Ghee, Pistachios  Coarsely Powdered",6,25,15,40,4,Indian,Dessert,Vegetarian
Ada Pradhaman Recipe With Homemade Ada- Kerala Special Payasam Recipe,"Jaggery, Coconut Milk, Cardamom, Ghee, Rice Flour, Hot Water, Salt, Banana Leaf, Sunflower Oil, Cashew Nuts, Fresh Coconut, Raisins, Ghee",13,10,35,45,3,South Indian Recipes,Dessert,Vegetarian
Spicy Pickled Paneer Gravy ,"Paneer, Ghee Oil, Pickle, Onion, Ginger Garlic Paste, Red Chili Powder, Turmeric Powder, Cumin Powder, Garam Masala Powder, Celery, Fennel, Water, Capsicum, Tomato Puree, Teaspoon Kasuri Methi, Salt, Few Branch Green Coriander",17,30,30,60,4,North Indian Recipes,Lunch,High Protein Vegetarian
Grilled Herring With Kasundi Mustard And Wild Celery Recipe,"Herring Fish Steaks, Ginger Garlic Paste, Apple Cider Vinegar, Extra Virgin Olive Oil, Celery, Kasundi Mustard Sauce, Lemon Juice, Salt, Red Chilli Flakes",9,10,10,20,4,Continental,Dinner,High Protein Non Vegetarian
Creamy Coconut Poached Pears Recipe,"Coconut Milk, Coconut Sugar, Pears, Cinnamon Stick, Cardamom, Slivered Almonds",6,20,30,50,4,Continental,Dessert,Vegan
Mutton Dak Bungalow Curry Recipe,"Mutton, Curd, Ginger Garlic Paste, Red Chilli Powder, Kashmiri Red Chilli Powder, Turmeric Powder, Mustard Oil, Whole Eggs, Potato, Mustard Oil, Ghee, Radhuni, Methi Leaves, Bay Leaf, Onion, Tomato, Ginger, Garlic  Paste, Salt, Cinnamon Stick, Cardamom, Black Cardamom, Mace, Nutmeg Powder, Cumin Seeds, Coriander, Green Chilli, Dry Red Chilli, Whole Black Peppercorns",29,480,60,540,2,Indian,Dinner,Non Vegeterian
French Brioche Recipe (Savoury Version),"All Purpose Flour, Salt, Active Dry Yeast, Sugar, Whole Eggs, Butter, Milk, Homemade Pizza And Pasta Sauce, Milk, Sunflower Oil",10,180,70,250,2,French,Snack,Eggetarian
Karnataka Style Avarekalu Huli Saru Recipe (Field Beans in a Coconut based Gravy Recipe),"Avarekalu  Lilva Beans, Potato, Brinjal, Garlic, Pearl Onion, Tomato, Salt, Tamarind, Fresh Coconut, Red Chilli Powder, Coriander, Turmeric Powder, Coriander, Mustard Seeds, Cumin Seeds, White Urad Dal, Curry Leaves, Sunflower Oil",18,15,20,35,4,Karnataka,Lunch,Vegetarian
Spicy Mexican Salsa Verde Recipe - Green Tomato Salsa,"Tomatillo Green Raw Tomato, Green Chilli, Coriander, Lemon Juice, Sugar, Extra Virgin Olive Oil, Salt",7,15,20,35,4,Mexican,Dinner,Vegetarian
Gobi Ke Kofte ,"Ginger Garlic Paste, Curd, Onion, Bay Leaves, Big Cardamom, Lentil Sugar, Red Chilli Powder, Turmeric Powder, Coriander Powder, Salt, Oil, Water, Of Green Coriander, Cabbage, Flour, Red Chilli Powder, Green Chilli, Salt, Water, Oil",20,15,60,75,4,North Indian Recipes,Lunch,Vegetarian
Jerk Chicken With Rice And Peas Pilaf Recipe,"Chicken, Sunflower Oil, Barbeque Sauce Bottle Jerk Barbecue Sauce, Spring Onion, Lemon Juice, Basmati Rice, Green Peas, Coconut Milk, Spring Onion, Fresh Thyme Leaves, Garlic, Bay Leaf, All Spice Powder",13,20,45,65,2,Caribbean,Main Course,High Protein Non Vegetarian
Tomato Basil Pasta And Pizza Sauce Recipe,"Blanched Tomato, Extra Virgin Olive Oil, Garlic, Onion, Basil Leaves, Salt, Whole Black Peppercorns, Sugar",8,10,30,40,2,Italian Recipes,Vegetarian,High Protein Non Vegetarian
Matar Keema ,"Green Peas, Potato, Cheese, Tomato, Asafoetida, Onion, Ginger Garlic Paste, Red Chilli Powder, Turmeric Powder, Coriander Leaves, Coriander Powder, Garam Masala Powder, Oil, Water, Salt",15,35,30,65,4,North Indian Recipes,Lunch,Vegetarian
Foxtail Millet Pilaf Recipe,"Foxtail Millet, Button Mushrooms, Cinnamon Stick, Cardamom, Onion, Garlic, Dried Oregano, Rosemary, Black Pepper Powder, Turmeric Powder, Prunes, Raisins, Salt",13,10,30,40,4,Middle Eastern,Lunch,Diabetic Friendly
Sindhi Kadhi ,"Arhar Dal, Tomato, Okra, Oil, Fenugreek Seeds, Mustard, Dry Red Chilli, Curry Leaves, Asafetida, Gram Flour, Red Chilli Powder, Tamarind Paste, Turmeric Powder, Jaggery, Salt",15,10,60,70,2,Sindhi,Lunch,High Protein Vegetarian
Togarikaayi Usli Recipe,"Green Tur Dal, Oil, Green Chilies, Garlic, Green Coriander, Salt, Butter, Mustard",8,10,30,40,4,North Karnataka,Lunch,High Protein Vegetarian
Kothavarangai Poriyal Recipe - South Indian Style Cluster Beans Sabzi,"Gawar Phali, Onion, Mustard Seeds, Dry Red Chilli, Curry Leaves, Asafoetida, Fresh Coconut, Green Chilli, Sunflower Oil, Salt",10,10,15,25,4,South Indian Recipes,Lunch,Vegetarian
Kachcha Kela Masala Sabzi Recipe (Raw Banana with Tomatoes & Spices),"Raw Banana, Tomato, Ginger, Bay Leaves, Turmeric Powder, Asafoetida, Coriander Powder, Garam Masala Powder, Red Chilli Powder, Salt",10,10,40,50,4,Indian,Lunch,Vegetarian
Goan Moolyacho Ross,"Radishes, Pigeonpea, Onion, Coconut, Green Chilli, Dry Red Chilli, Coriander Seeds, Tamarind, Jaggery, Salt",10,20,30,50,4,Goan Recipes,Lunch,Vegetarian
Coconut Chia Pudding Recipe,"Chia Seeds, Tender Coconut Water, Coconut Milk, Orange, Blueberries, Pistachios, Honey, Mint Leaves",8,20,30,50,4,Goan Recipes,Lunch,Vegetarian
Paneer Frankie Recipe - Delicious Kid Friendly Snack,"Whole Wheat Tawa Paratha, Lettuce Leaves, Paneer, Red Bell Pepper, Onion, Del Monte Tandoori Mayo",6,10,30,40,4,Indian,Snack,High Protein Vegetarian
 Beetroot Paneer Curry Recipe In Coconut Milk,"Paneer, Chakundar, Onion, Green Chilli, Ginger, Bud Garlic, Coriander Powder, Turmeric, Garam Masala Powder, Coconut Milk, Oil, Salt, Red Chili Powder",13,15,40,55,4,Indian,Side Dish,High Protein Vegetarian
Rajasthani Gatte Ka Pulao Recipe,"Gram Flour, Ajwain, Red Chilli Powder, Curd, Sunflower Oil, Salt, Cooked Rice, Ghee, Garlic, Onion, Turmeric Powder, Red Chilli Powder, Bay Leaf, Cloves, Cinnamon Stick, Salt, Coriander",17,10,60,70,4,Rajasthani,Lunch,Vegetarian
Paneer Kofta Curry Recipe,"G Paneer, All Purpose Flour, Salt, Coriander, Cumin Powder, Ginger, Honey, Tomato Puree, Coriander Powder, Garam Masala Powder, Turmeric Powder, Hung Yogurt Cream, Fenugreek Seeds, Salt, Oil",15,20,40,60,4,North Indian Recipes,Side Dish,Vegetarian
Chia Seeds Shikanji Recipe,"Chia Seeds, Chilled Water, Ice Cubes, Lemon, Sugar, Black Salt, Cumin Powder, Black Pepper Powder, Mint Leaves",9,30,0,30,4,Indian,Snack,Vegetarian
Spiced Coconut Oatmeal With Assorted Fruits Recipe,"Instant Oats, Lukewarm Water, Coconut Milk, Honey, Cinnamon Powder, Dry Ginger Powder, Ripe Bananas, Dates, Anardana Powder, Walnuts, Salt",11,5,10,15,4,Continental,World Breakfast,Vegetarian
Carrot And Capsicum Rice Recipe,"Cooked Rice, Cumin Seeds, Curry Leaves, Green Chilli, Carrot, Green Bell Pepper, Onion, Red Chilli Powder, Black Pepper Powder, Ghee, Coriander, Salt",12,20,45,65,2,Indian,Lunch,Vegetarian
South Indian One Pot Sambar Rice Recipe,"Ghee, Chana Dal, White Urad Dal, Coriander, Methi Seeds, Mustard Seeds, Dry Red Chilli, Fresh Coconut, Rice, Pink Masoor Dal, Potato, Green Beans, Bottle Gourd, Onion, Ghee, Sunflower Oil, Mustard Seeds, Cumin Seeds, Dry Red Chilli, Green Chilli, Asafoetida, Turmeric Powder, Tamarind Water, Jaggery, Water, Salt, Coriander",27,20,45,65,4,South Indian Recipes,Main Course,Vegetarian
Pineapple and Dill Granita Recipe,"Pineapple, Dill Leaves, Sugar, Water, Ice Cubes",5,10,260,270,2,Italian Recipes,Dessert,Vegetarian
Spicy Lemon Chilli Paneer Tart With Curry Leaves Recipe,"All Purpose Flour, Butter, Icing Sugar, Whole Egg, Salt, Paneer, Green Bell Pepper, Onion, Garlic, Green Chilli, Spring Onion Greens, Salt, Black Pepper Powder, Turmeric Powder, Green Chilli Sauce, Curry Leaves, Mustard Seeds, Corn Flour, Lemon",19,20,20,40,4,Fusion,Appetizer,Eggetarian
Bajri Ki Roti Recipe,"Bajra Flour, Whole Wheat Flour, Salt, Ghee, Lukewarm Water Bind The Dough",5,15,30,45,5,Indian,Dinner,Diabetic Friendly
Chinese style Black Sesame Nai Huang Bao Recipe (Steamed Custard Buns),"Milk Powder, Coconut Milk, Condensed Milk, Whole Eggs, Sunflower Oil, All Purpose Flour, Black Sesame Seeds, Active Dry Yeast, Lukewarm Water, Sugar, Sunflower Oil",11,10,90,100,4,Chinese,Appetizer,Vegetarian
Kesar Shrikhand Recipe - Greek Yogurt Pudding With Saffron,"Hung Curd, Caster Sugar, Cardamom Powder, Saffron Strands, Pistachios, Fresh Fruits",6,360,30,390,4,Gujarati Recipes﻿,Dessert,Vegetarian
Matki Chi Usal Recipe - Spicy Moth Sprouted Salad,"Moth Sprouts, Horse Gram Dal, Ajwain, Mustard Seeds, Asafoetida, Red Chilli Powder, Fresh Coconut, Lemon Juice, Salt, Water, Curry Leaves, Dry Red Chilli",12,10,20,30,4,Maharashtrian Recipes,Snack,Vegetarian
Egg Korma Recipe,"Whole Eggs, Sunflower Oil, Cumin Seeds, Onion, Green Chilli, Tomato, Ginger Garlic Paste, Red Chilli Powder, Turmeric Powder, Coriander Powder, Garam Masala Powder, Coconut Milk, Salt, Coriander",14,10,20,30,4,Indian,Side Dish,Eggetarian
Raw Tomato Chutney ,"Tomato, Green Chilli, Garlic, Fenugreek Seeds, Salt, Jaggery, Curry Leaves, Onion, Mustard, Oil",10,20,20,40,4,South Indian Recipes,Side Dish,Vegetarian
Broccoli Rava Idli Recipe,"Polenta, Sooji, Broccoli, Cashew Nuts, Curd, Water, Green Chilli, Ginger, Asafoetida, Curry Leaves, Mustard Seeds, White Urad Dal, Sunflower Oil, Enos Fruit Salt, Salt",15,20,10,30,4,South Indian Recipes,South Indian Breakfast,Vegetarian
Mushroom & Goat Cheese Omelette with Spinach Recipe,"Whole Eggs, Milk, Button Mushrooms, Dried Oregano, Black Pepper Powder, Salt, Spinach Leaves, Goat Cheese, Butter, Sunflower Oil",10,10,20,30,1,Continental,World Breakfast,Eggetarian
Caramel Folded Plum Cake Recipe,"Mixed Dry Fruits  I Used Apricot, Rum, Sugar, Hot Water, Vivatta Maida, Baking Powder, Baking Soda, Cloves, Cardamom, Cinnamon Powder, Nutmeg Powder, Butter, Sugar, Whole Eggs, Mixed Nuts  I Used Almond, Tutti Frutti, Salt",17,40,60,100,1,Kerala Recipes,Snack,Eggetarian
Chole Capsicum Masala Recipe,"Kabuli Chana, Green Bell Pepper, Onion, Ginger Garlic Paste, Coriander Powder, Red Chilli Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Cashew Nuts, Homemade Tomato Puree, Sunflower Oil, Salt",13,30,40,70,4,North Indian Recipes,Dinner,Vegetarian
Chocolate Ganache Tart Recipe,"All Purpose Pie Crust, Heavy Whipping Cream, Dark Chocolate, Rock Salt, Fresh Cherries",5,60,60,120,4,Continental,Dessert,Vegetarian
Konkani Style Mooga Ghushi Recipe-Sprouted Whole Green Gram In Tangy Coconut Gravy,"Green Moong Dal, Fresh Coconut, Dry Red Chilli, Tamarind Paste, Coconut Oil, Mustard Seeds, Curry Leaves, Salt",8,10,20,30,2,Konkan,Lunch,Vegetarian
Thai Flavoured Vegetable Noodles In Coconut Curry Recipe,"Egg Noodles, Broccoli, Carrots, Purple Cabbage, Button Mushrooms, Green Peas, Garlic, Fresh Red Chilli, Salt, Sunflower Oil, Coconut Milk, Raw Peanuts, Garlic, Lemon Juice, Thai Red Curry Paste",15,10,20,30,4,Thai,Main Course,Vegetarian
Mambazha Pulissery Recipe - Mango Mor Kuzhambu Recipe,"Mango, Green Chilli, Fresh Coconut, Cumin Seeds, Jaggery, Turmeric Powder, Curd, Coconut Oil, Dry Red Chilli, Curry Leaves, Mustard Seeds, Salt",12,15,45,60,3,Kerala Recipes,Lunch,Vegetarian
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry,"Kabuli Chana, Mustard Seeds, Curry Leaves, Cloves, Onion, Fresh Coconut, Tamarind Water, Sunflower Oil, Salt, Byadagi Dried Chilli, Coriander, Cumin Seeds, Whole Black Peppercorns, Turmeric Powder",14,10,45,55,4,Mangalorean,Lunch,Vegetarian
Masala Mixed Sprouts Sandwich Recipe,"Whole Wheat Brown Bread, Green Moong Sprouts, Masoor Dal, Rajma, Kala Chana, Onion, Onion, Tomato, Garlic, Red Chilli Powder, Chaat Masala Powder, Turmeric Powder, Coriander, Sunflower Oil, Salt",15,10,30,40,4,Indian,Lunch,High Protein Vegetarian
Sindhi Kuneh Ja Bhee Recipe (Lotus Stem Chaat),"Lotus Stem, Red Chilli Powder, Cumin Powder, Chaat Masala Powder, Black Pepper Powder, Amchur, Salt, Onion, Coriander, Green Chutney, Sweet Chutney",11,10,55,65,2,Sindhi,Snack,Vegetarian
Eggless Whole wheat And Orange Almond Cake Recipe,"Whole Wheat Flour, Almond Meal, Condensed Milk, Fresh Orange Juice, Butter, Sunflower Oil, Baking Soda, Baking Powder, Salt, Cinnamon Powder, Vanilla Extract, Buttermilk, Badam, Pistachios, Walnuts",15,0,45,45,6,Continental,Dessert,Vegetarian
"Beetroot, Sweet Potato And Oatmeal Cutlet Recipe","Beetroots, Sweet Potato, Instant Oats, Sweet Corn, Green Chilli, Red Chilli Powder, Amchur, Cumin Powder, Black Salt, Coriander, Ginger, Whole Wheat Bread Crumbs, Sunflower Oil, Salt",14,15,20,35,4,Indian,Appetizer,Vegetarian
Punjabi Lobia Masala Recipe (Punjabi Style Black Eyed Beans Curry),"Black Eyed Beans, Onion, Tomato, Green Chilli, Ginger, Garlic, Cumin Seeds, Cinnamon Stick, Bay Leaves, Cloves, Red Chilli Powder, Turmeric Powder, Cumin Powder, Coriander Powder, Garam Masala Powder, Kasuri Methi, Ginger, Ghee, Salt",19,10,30,40,4,Indian,Dinner,Vegetarian
Delmonte Beetballs Pasta Recipe,"Masoor Dal, Beetroot, Onion, Garlic, Cumin Powder, Coriander Powder, Salt, Whole Wheat Bread Crumbs, Sunflower Oil, Del Monte Spaghetti Pasta, Extra Virgin Olive Oil, Garlic, Dried Oregano, Parsley Leaves, Red Chilli Flakes, Basil Leaves, Parmesan Cheese",17,15,45,60,4,Italian Recipes,Lunch,Vegetarian
Chicken Teriyaki Rice Bowl Recipe,"Chicken Breasts, Sprig Ginger Teriyaki Sauce, Fresh Orange Juice, Corn Flour, Garlic, Spring Onion Greens, Broccoli, Cooked Rice, Garlic, Spring Onion Greens, Black Pepper Powder, Salt, Sunflower Oil",13,60,30,90,2,Japanese,Lunch,High Protein Non Vegetarian
Strawberry Smoothie Bowl with chia seeds and Muesli Recipe,"Instant Oats, Prunes, Badam, Honey, Curd, Water, Muesli, Strawberries, Chia Seeds",9,10,15,25,1,Continental,World Breakfast,Vegetarian
Oven Roasted Peaches And Cream Recipe,"Peaches, Butter, Sugar, Cinnamon Powder, Walnuts, Mint Leaves, Heavy Whipping Cream, Icing Sugar, Vanilla Extract",9,20,30,50,4,Continental,Dessert,Vegetarian
Karnataka Style Sorakkai Palya Recipe - Karnataka Style Bottle Gourd Sabzi,"Bottle Gourd, Tomato, Cumin Seeds, Turmeric Powder, Red Chilli Powder, Sambar Powder, Curry Leaves, Salt, Sunflower Oil",9,10,30,40,3,Karnataka,Lunch,Vegetarian
Andhra Style Multi Lentil Garelu (Vada Recipe),"Chana Dal, Yellow Moong Dal, White Urad Dal, Rice Flour, Whole Wheat Flour, Green Chilli, Coriander, Curry Leaves, Ginger, Water, Salt, Sunflower Oil",12,300,30,330,10,Andhra,South Indian Breakfast,Vegetarian
Grilled Vegetable and Oat Salad Recipe with Feta Cheese,"Iceberg Lettuce, Button Mushrooms, Carrots, Rolled Oats Or Instant Oats, Lemon Juice, Mustard Sauce, Sunflower Oil, Feta Cheese, Parsley Leaves, Salt, Black Pepper Powder",11,10,30,40,3,Italian Recipes,Side Dish,Vegetarian
Sweet Potato & Peas Cutlet Recipe,"Sweet Potato, Green Peas, Ginger Garlic Paste, Green Chilli, Coriander, Chaat Masala Powder, Red Chilli Powder, Salt, Amchur, Cumin Powder, Lemon Juice, Garam Masala Powder, Corn Flour, Water, Whole Wheat Bread Crumbs, Sunflower Oil Shallow Fry",16,30,25,55,4,Indian,Snack,Vegetarian
Instant Khaman Dhokla Recipe,"Green Chilli, Ginger, Water, Gram Flour, Water More If Required, Salt, Cooking Soda, Enos Fruit Salt, Sugar, Turmeric Powder, Sunflower Oil, Lemon Juice, Sunflower Oil, Mustard Seeds, Cumin, Green Chilli, Curry Leaves, Sugar, Salt, Water, Lemon Juice, Fresh Coconut, Coriander",23,10,20,30,4,Gujarati Recipes﻿,Snack,Vegetarian
Amritsari Fish Gravy Recipe,"Fish, Ajwain, Gram Flour, Kashmiri Red Chilli Powder, Turmeric Powder, Ginger Garlic Paste, Lemon Juice, Salt, Sunflower Oil, Curd, Water, Ajwain, Cinnamon Stick, Green Chilli, Fresh Red Chilli, Turmeric Powder, Cashew Nuts, Homemade Tomato Puree, Onion, Coriander, Ghee, Salt",22,20,25,45,2,North Indian Recipes,Dinner,Non Vegeterian
Kachumber Salad Recipe,"Cucumber, Onion, Green Chili, Tomato, Carrot, Salt, Pomegranate, Black Pepper Powder, Cumin Powder, , Coriander Leaves, Mint",12,10,5,15,4,Indian,Side Dish,Diabetic Friendly
Homemade Nachos Recipe,"Corn Flour, Whole Wheat Flour, Sunflower Oil, Water Knead The Flour, Salt, Barbeque Masala Garnish",6,10,25,35,3,Mexican,Snack,Vegetarian
Moong Dal Palak Cheela ,"Yellow Moong Dal, Curd, Spinach, Onion, Coriander, Green Chilli, Ginger, Cumin Seeds, Turmeric Powder, Red Chili Powder, Lemon Juice, Salt, Oil",13,20,30,50,4,Indian,North Indian Breakfast,High Protein Vegetarian
